Sequence,ID,Netzbetreiber,VSE-ID,Kategorie,Netznutzung,Energie,Abgabe,KEV,Total exkl. MWST
51,4,AEK Energie AG,10270012345,C3,8.60711111111111,9.51255555555555,1.0,2.3,21.4196666666667
52,4,AEK Energie AG,10270012345,C4,7.60186666666667,9.01823333333333,1.0,2.3,19.9201
53,4,AEK Energie AG,10270012345,C5,5.40037333333333,9.01823333333333,0.06,2.3,16.7786066666667
54,4,AEK Energie AG,10270012345,C6,4.97936,9.4166,0.02,2.3,16.71596
55,4,AEK Energie AG,10270012345,C7,4.31813853510651,8.97746096775333,0.0,2.3,15.5955995028598
56,5,AEW Energie AG,10117012345,H1,14.190037202381,8.08608630952381,0.9,2.3,25.4761235119048
57,5,AEW Energie AG,10117012345,H2,11.4365714285714,8.05628571428571,0.9,2.3,22.6928571428571
58,5,AEW Energie AG,10117012345,H3,8.66031746031746,7.69793650793651,0.9,2.3,19.558253968254
59,5,AEW Energie AG,10117012345,H4,9.33276984126984,8.07274603174603,0.9,2.3,20.6055158730159
60,5,AEW Energie AG,10117012345,H5,7.68437619047619,7.74850476190476,0.9,2.3,18.632880952381
61,5,AEW Energie AG,10117012345,H6,5.65590714285714,7.39955142857143,0.9,2.3,16.2554585714286
62,5,AEW Energie AG,10117012345,H7,6.97271978021978,7.85658241758242,0.9,2.3,18.0293021978022
63,5,AEW Energie AG,10117012345,H8,8.26634523809524,8.07288095238095,0.9,2.3,19.5392261904762
64,5,AEW Energie AG,10117012345,C1,9.02515625,8.5515625,0.9,2.3,20.77671875
65,5,AEW Energie AG,10117012345,C2,7.87445,8.5233,0.9,2.3,19.59775
66,5,AEW Energie AG,10117012345,C3,7.98533333333333,8.56466666666667,0.9,2.3,19.75
67,5,AEW Energie AG,10117012345,C4,7.09926666666667,8.35273333333333,0.9,2.3,18.652
68,5,AEW Energie AG,10117012345,C5,3.5531,8.35273333333333,0.9,2.3,15.1058333333333
69,5,AEW Energie AG,10117012345,C6,3.33216666666667,8.39655555555556,0.9,2.3,14.9287222222222
70,5,AEW Energie AG,10117012345,C7,2.80922202338247,8.16406975900081,0.9,2.3,14.1732917823833
71,6,AG Elektrizitätswerk Maienfeld,10256012345,H1,16.99,6.3,0.25,2.3,25.84
72,6,AG Elektrizitätswerk Maienfeld,10256012345,H2,15.1,6.3,0.25,2.3,23.95
73,6,AG Elektrizitätswerk Maienfeld,10256012345,H3,10.6660317460317,5.5847619047619,0.25,2.3,18.8007936507937
74,6,AG Elektrizitätswerk Maienfeld,10256012345,H4,11.448253968254,5.87809523809524,0.25,2.3,19.8763492063492
75,6,AG Elektrizitätswerk Maienfeld,10256012345,H5,9.14323809523809,5.61371428571429,0.25,2.3,17.3069523809524
76,6,AG Elektrizitätswerk Maienfeld,10256012345,H6,6.69097142857143,5.32411428571429,0.25,2.3,14.5650857142857
77,6,AG Elektrizitätswerk Maienfeld,10256012345,H7,8.29758241758242,5.67736263736264,0.25,2.3,16.5249450549451
78,6,AG Elektrizitätswerk Maienfeld,10256012345,H8,9.8487619047619,5.87828571428571,0.25,2.3,18.2770476190476
79,6,AG Elektrizitätswerk Maienfeld,10256012345,C1,10.59,6.2125,0.25,2.3,19.3525
